source_text,source_label_0,source_label_1,target_text,target_label_0,target_label_1,predicted_text,predicted_label_0,predicted_label_1
"in april 2009 a brazilian human rights group, torture never again, awarded the five its chico mendes medal, because their rights had been violated.",0.91752225,0.0824777,"in april 2009 a brazilian human rights group, torture never again, awarded the five its chico mendes medal, under the pretext that their rights had been violated.",0.8199039,0.18009612,"the the is the, the the the the the,,,,,,,,,,,,, the...",0.5198222,0.4801778
"the 51 day standoff and ensuing murder of 76 men, women, and children - - the branch davidians - - in waco, texas.",0.72743225,0.27256778,"the 51 day standoff and ensuing deaths of 76 men, women, and children - - the branch davidians - - in waco, texas.",0.87602687,0.12397318,"the the is the, the the the the the,,,,,,,,,,,,,,, the...",0.5067015,0.49329847
"mark oaten ( born 8 march 1964, watford ) is a disgraced liberal democrat politician in the united kingdom, and member of parliament for the winchester constituency.",0.0013911335,0.9986089,"mark oaten ( born 8 march 1964, watford ) is a liberal democrat politician in the united kingdom, and member of parliament for the winchester constituency.",0.96104133,0.03895868,"the the is the, the the the the the,,,,,,,,,,,,,,,,,, the...",0.50435823,0.49564174
another infamous period of colonisation in ancient times was from the romans.,0.0018020562,0.998198,another period of colonisation in ancient times was from the romans.,0.97258943,0.02741064,"the the is the, the the the the the the..",0.62221915,0.37778088
photo sequence of astonishing 2005 chicagoland crash with ryan briscoe.,0.0013447296,0.9986552,photo sequence of 2005 chicagoland crash with ryan briscoe.,0.9976393,0.00236077,"the the is the, the the the the the the..",0.62221915,0.37778088
"jesus of nazareth is probably mentioned in two passages of the work the antiquities of the jews by the jewish historian josephus, written in the late first century ad.",0.5771864,0.42281356,"jesus of nazareth is possibly mentioned in two passages of the work the antiquities of the jews by the jewish historian josephus, written in the late first century ad.",0.6265993,0.37340072,"the the is the, the the the the the,,,,,,,,,,,,,,,,, the...",0.5059881,0.49401188
israeli attempts to reduce gazan civilian casualties,0.77745104,0.22254899,israeli efforts to reduce gazan civilian casualties,0.86168796,0.13831209,the the is the the..,0.578327,0.42167303
his 45 - year career exceeded that of any other studio head.,0.77306396,0.22693604,his 45 - year career was longer than that of any other studio head.,0.9743482,0.025651837,"the the is the, the the the the the..",0.6134166,0.3865834
"they see the calling of such councils, for example, by a roman emperor lacking the divine authority as preposterous and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking.",0.6349657,0.3650343,"they see the calling of such councils, for example, by a roman emperor lacking the divine authority as groundless and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking.",0.6103599,0.38964012,"the the is the, the the the the the,,,,,,,,,,,,,,,,,,,,,,,,,,,,, the the...",0.49616453,0.50383544
"in the earliest models ( earlier than a macintosh ii ), all it did was crash silently, without playing any fancy music.",0.025672764,0.97432727,"in the earliest models ( earlier than a macintosh ii ), all it did was crash silently, without playing any music.",0.92412084,0.075879134,"the the is the, the the the, the,,,,,,,,,, the...",0.49276704,0.5072329
"elagabulus engaged in frequent homosexual perversions, such as prostituting himself in drag and marrying an enslaved chariot driver.",0.10314992,0.89685005,"elagabulus engaged in frequent homosexual activities, such as prostituting himself in drag and marrying an enslaved chariot driver.",0.4974355,0.50256455,"the the is the, the the the the the,,,,,,,,,,, the...",0.5187748,0.48122522
stone soup is an old folk story in which hungry strangers trick the local people of a town into sharing their food.,0.77523875,0.22476123,stone soup is an old folk story in which hungry strangers compell the local people of a town into sharing their food.,0.8585111,0.14148891,"the the is the, the the the, the,,,,,,,, the...",0.49953413,0.50046587
"file : donna york. jpg | a barge hauls coal in the louisville and portland canal, the only man - made portion of the ohio river.",0.015810583,0.98418945,"file : donna york. jpg | a barge hauls coal in the louisville and portland canal, the only artificial portion of the ohio river.",0.7463157,0.25368434,"the the is the, the the the the the,,,,,,,,,,,,,,,, the...",0.50001997,0.49998
