Source Text,Target Text,Predicted Text,EMD Source-Predicted,EMD Target-Predicted,Content Preservation Score
"in april 2009 a brazilian human rights group, torture never again, awarded the five its chico mendes medal, because their rights had been violated.","in april 2009 a brazilian human rights group, torture never again, awarded the five its chico mendes medal, under the pretext that their rights had been violated.","in april 2009 a brazilian human rights group, torture never again, awarded the five its chico mendes medal, because their rights had been violated.",0.0,0.097618605,1.0
"the 51 day standoff and ensuing murder of 76 men, women, and children--the branch davidians--in waco, texas.","the 51 day standoff and ensuing deaths of 76 men, women, and children--the branch davidians--in waco, texas.","the 51 day standoff and ensuing murder of 76 men, women, and children--the branch davidians--in waco, texas.",0.0,0.14859469199999997,1.0
"mark oaten (born 8 march 1964, watford) is a disgraced liberal democrat politician in the united kingdom, and member of parliament for the winchester constituency.","mark oaten (born 8 march 1964, watford) is a liberal democrat politician in the united kingdom, and member of parliament for the winchester constituency.","mark oaten (born 8 march 1964, watford) is a liberal democrat politician in the united kingdom, and member of parliament for the winchester constituency.",0.037567548299999996,0.0,0.9343904256820679
another infamous period of colonisation in ancient times was from the romans.,another period of colonisation in ancient times was from the romans.,another period of colonisation in ancient times was from the romans.,0.025608751399999994,0.0,0.8514248728752136
photo sequence of astonishing 2005 chicagoland crash with ryan briscoe.,photo sequence of 2005 chicagoland crash with ryan briscoe.,photo sequence of 2005 chicagoland crash with ryan briscoe.,0.0010159685999999793,0.0,0.9835312962532043
"jesus of nazareth is probably mentioned in two passages of the work the antiquities of the jews by the jewish historian josephus, written in the late first century ad.","jesus of nazareth is possibly mentioned in two passages of the work the antiquities of the jews by the jewish historian josephus, written in the late first century ad.","jesus of nazareth is mentioned in two passages of the work the antiquities of the jews by the jewish historian josephus, written in the late first century ad.",0.06522657000000001,0.015813584999999963,0.9896844029426575
israeli attempts to reduce gazan civilian casualties,israeli efforts to reduce gazan civilian casualties,israeli attempts to reduce gazan civilian casualties,0.0,0.08423675500000001,1.0
his 45-year career exceeded that of any other studio head.,his 45-year career was longer than that of any other studio head.,his 45-year career exceeded that of any other studio head.,0.0,0.20128441400000002,1.0
"they see the calling of such councils, for example, by a roman emperor lacking the divine authority as preposterous and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking.","they see the calling of such councils, for example, by a roman emperor lacking the divine authority as groundless and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking.","they see the calling of such councils, for example, by a roman emperor lacking the divine authority as preposterous and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking.",0.0,0.024605790000000016,1.0
"in the earliest models (earlier than a macintosh ii), all it did was crash silently, without playing any fancy music.","in the earliest models (earlier than a macintosh ii), all it did was crash silently, without playing any music.","in the earliest models (earlier than a macintosh ii), all it did was crash silently, without playing any fancy music.",0.0,0.050206384500000006,1.0
